"","X","LONG","LAT","Examined","Positive","Prevalence","ID","elevation","annual_mean_temperature","annual_diurnal_range","isothermality","temperature_seasonality","maximum_temperature_warmest_month","minimum_temperature_coldest_month","temperature_annual_range","mean_temperature_wettest_quarter","mean_temperature_driest_quarter","mean_temperature_warmest_quarter","mean_temperature_coldest_quarter","annual_precpitation","precipitation_wettest_month","precipitation_driest_month","precipitation_seasonality","precipitation_wettest_quarter","precipitation_dreist_quarter","precipitation_warmest_quarter","precipitation_coldest_quarter","LST_day_01","LST_night_01","slope","NDVI01_GT_utm","EVI01_GT_utm","LC01_GT_utm","FC_GT_utm","TCW01_GT_utm","SM0001_GT_utm","distwater_GT_utm","popden0001_GT_utm","housing2001_GT_utm","nightlights0001_GT_utm"
"21",37,601412.02547579,873354.63598286,99,35,0.353535354,21,232.914276123047,263.320495605469,97.3391418457031,67.1876068115234,1339.37609863281,346.059112548828,201.907577514648,144.15153503418,269.1689453125,268.1689453125,282.829803466797,247.756042480469,1234.06665039062,193.509323120117,6,62.4906730651855,475.940887451172,44.6608619689941,263.262603759766,399.202270507812,29.6205081939697,20.7095127105713,1.52451360225677,0.531529068946838,0.350702911615372,9,1.82057547569275,-0.19341941177845,41.5728187561035,4.02094459533691,64.3450698852539,0.0633409097790718,0
"22",38,609067.601570267,898802.864029456,75,45,0.6,22,103.203834533691,275.840942382812,104,67,1363.98681640625,361.840942382812,207.946060180664,153.894882202148,281.840942382812,280,295.840942382812,259.555755615234,1188,198,4,65,461,33.7148208618164,232.714813232422,416.624298095703,32.239917755127,21.1474208831787,0.078798271715641,0.476306557655334,0.303672790527344,10,170.469421386719,-0.205927789211273,33.476490020752,1.68655490875244,39.7565536499023,0.096891738474369,0
"23",39,654086.951951776,915660.592696783,69,11,0.15942029,23,135.043930053711,276,109,68,1364.78649902344,364.011291503906,206,158.011276245117,263,281,296,259.751739501953,1198.94580078125,212,4,67.2482528686523,477.751739501953,26,214.591354370117,464.9560546875,30.995433807373,21.1532306671143,0.113193839788437,0.493522793054581,0.312451601028442,9,22.8418598175049,-0.196401566267014,54.7958335876465,1.26088809967041,16.0367622375488,0.0560300871729851,0
"24",40,802595.847648938,966104.762105136,336,186,0.553571429,24,172.369934082031,274.186065673828,113,66,1405.4970703125,364.342529296875,194.885726928711,169.456802368164,256.672454833984,278.8857421875,294.186065673828,256.672454833984,1216.25573730469,244.813934326172,4,77,591.81396484375,22,155.813934326172,591.81396484375,32.7255554199219,21.0217456817627,0.467114299535751,0.461153477430344,0.296317011117935,12,2.91938710212708,-0.21150104701519,139.521575927734,3.05209445953369,29.0687885284424,0.0342733561992645,0
"25",41,652155.098892284,864648.009551772,53,7,0.132075472,25,196.414321899414,268.426940917969,104,69,1261.669921875,352.521026611328,203.18342590332,149.337600708008,272.426940917969,274.183441162109,286.426940917969,253.228103637695,1252.10144042969,201.756500244141,6,63,475.816558837891,37.8165702819824,251.955337524414,428.513000488281,29.4861679077148,20.0067348480225,0.515649199485779,0.563256323337555,0.365316689014435,9,24.1212997436523,-0.174287334084511,39.9157104492188,0.992029666900635,39.8420295715332,0.0411857552826405,0
"26",42,695134.55887762,872551.060004942,116,7,0.060344828,26,124.159507751465,275.008575439453,107,69,1232.21240234375,360.008575439453,206,154.008575439453,268.017150878906,280,293.008575439453,260,1211.40478515625,204,6,65.7890319824219,468,30.2109661102295,221.413360595703,453.010894775391,32.1889419555664,20.9555053710938,0.150941506028175,0.457170397043228,0.302349060773849,10,1.38373041152954,-0.194119423627853,72.0666580200195,1.9901727437973,27.8970775604248,0.0383178815245628,0
"27",43,699545.785313614,872569.984085338,93,2,0.021505376,27,108.025314331055,276.008239746094,107.786560058594,69.7783126831055,1222.90380859375,361.010467529297,207,154.010482788086,269.788787841797,281.008239746094,294,260.797027587891,1206.2216796875,204,6,66,467,30,218.2216796875,454,31.7118244171143,20.9712429046631,0.255702793598175,0.461163431406021,0.295930236577988,9,2592.87890625,-0.182198241353035,74.8214416503906,0.521418690681458,27.8970775604248,0.0434657335281372,0
"28",44,643212.029742005,902954.374199018,70,35,0.5,28,135.82145690918,275.79248046875,107.886360168457,67.3211669921875,1337.53564453125,363.79248046875,205.434799194336,158.357666015625,262.79248046875,280.113647460938,295,259.79248046875,1222.62951660156,210.207534790039,5,66,474.535583496094,31,228,451.535583496094,31.165714263916,21.2424049377441,0.491889148950577,0.510250210762024,0.338756918907166,9,43.2888717651367,-0.217385038733482,48.1077995300293,2.27267336845398,16.0367641448975,0.107286907732487,2.08829140663147
"29",45,836334.713240147,875581.057160533,361,198,0.548476454,29,98.6263961791992,276.581848144531,111,66,1299.08825683594,362.581848144531,195.927505493164,166.654342651367,259.836456298828,279.927520751953,294.581848144531,259.836456298828,1302.14477539062,220.41813659668,7,68.0910568237305,561.030944824219,37.2234992980957,187.041381835938,561.030944824219,30.0345649719238,22.645227432251,0.859107673168182,0.365080893039703,0.244328558444977,10,1.29586625099182,-0.0822605639696121,146.234191894531,9.20445537567139,58.3339500427246,0.0438036546111107,0
"30",46,778405.247492287,948098.026638792,67,1,0.014925373,30,179.744888305664,273,112,67,1341.38244628906,362.283294677734,196,166.283309936523,256,278,292.471710205078,256,1215.13366699219,243,5,77,581,22,159,581,33.2061500549316,21.5216941833496,0.262265384197235,0.422408014535904,0.282590419054031,10,1.38369798660278,-0.227777436375618,134.146743774414,6.60989618301392,13.5014266967773,0.0694242268800735,0
